[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] | I've heard good things about the lucky star. Need a reservation? [END]
[USER] Hmm... let me think. Let's try maybe something italian instead.  [SYSTEM] | There are nine Italian restaurants in the centre of town! Are you looking for an Italian restaurant in any particular price range? [END]
[SYSTEM] There are nine Italian restaurants in the centre of town! Are you looking for an Italian restaurant in any particular price range?  [USER] | Which of those nine has the best ratings? Can I please have the address and postcode. [END]
[USER] Which of those nine has the best ratings? Can I please have the address and postcode.  [SYSTEM] | I recommend Caffe Uno - it's very nice. They're at 32 Bridge Street City Centre, cb21uj. Can I help with anything else? [END]
[SYSTEM] I recommend Caffe Uno - it's very nice. They're at 32 Bridge Street City Centre, cb21uj. Can I help with anything else?  [USER] | No, that's all. Thanks. [END]
[USER] No, that's all. Thanks.  [SYSTEM] | Thank you! Goodbye. [END]
[USER] I am looking for a particular restaurant. Its name is called travellers rest  [SYSTEM] | It is an expensive British restaurant on the west side of town. Would you like the address? [END]
[SYSTEM] It is an expensive British restaurant on the west side of town. Would you like the address?  [USER] | Yes, and can you book a table for 1 at 14:15 on Monday, please. [END]
[USER] Yes, and can you book a table for 1 at 14:15 on Monday, please.  [SYSTEM] | Ok. You're all set for Monday at 14:15. Have a great day. [END]
[USER] Heya, can you find me an expensive restaurant with north african food?  [SYSTEM] | I actually cannot find any expensive restaurants with north african food. There is however an expensive restaurant with african food. Would that be okay? [END]
[SYSTEM] I actually cannot find any expensive restaurants with north african food. There is however an expensive restaurant with african food. Would that be okay?  [USER] | Are there any expensive restaurants with gastropub food? [END]
[USER] Are there any expensive restaurants with gastropub food?  [SYSTEM] | Yes, I have 3. Two are located in the centre and one is located in the east. Do you have a preference? [END]
[SYSTEM] Yes, I have 3. Two are located in the centre and one is located in the east. Do you have a preference?  [USER] | Yes, the one in the east please. [END]
[USER] Yes, the one in the east please.  [SYSTEM] | One in the East is called Royal Standard. Can I book a table for you? [END]
[SYSTEM] One in the East is called Royal Standard. Can I book a table for you?  [USER] | Yes, please book it for 2 people at 13:45 on monday. [END]
[USER] Yes, please book it for 2 people at 13:45 on monday.  [SYSTEM] | I'm sorry that isn't available. Can I try a different restaurant for you? [END]
[SYSTEM] I'm sorry that isn't available. Can I try a different restaurant for you?  [USER] | No thank you that will be all. [END]
[USER] No thank you that will be all.  [SYSTEM] | Is there anything else I can assist you with? [END]
[SYSTEM] Is there anything else I can assist you with?  [USER] | That was all thank you. [END]
[USER] That was all thank you.  [SYSTEM] | Thank you. Good bye [END]
[USER] I am looking for a restaurant.  [SYSTEM] | Is there a price range or type of food that you would prefer? [END]
[SYSTEM] Is there a price range or type of food that you would prefer?  [USER] | Not sure of that, I am looking for a restaurant named "ask." [END]
[USER] Not sure of that, I am looking for a restaurant named "ask."  [SYSTEM] | That is an Italian restaurant located in the centre of town. It is at 12 Bridge Street. Can I call and reserve a table for you? [END]
[SYSTEM] That is an Italian restaurant located in the centre of town. It is at 12 Bridge Street. Can I call and reserve a table for you?  [USER] | I would like to book a table for 5 people on Sunday at 14:15 [END]
[USER] I would like to book a table for 5 people on Sunday at 14:15  [SYSTEM] | I am afraid that booking was unsuccessful. Would you like to try another restaurant? [END]
[SYSTEM] I am afraid that booking was unsuccessful. Would you like to try another restaurant?  [USER] | Yes, a different restaurant in the same area and with the same price range. [END]
[USER] Yes, a different restaurant in the same area and with the same price range.  [SYSTEM] | Yes there are 15 restaurants that are a similar price range. Did you still want Italian? [END]
[SYSTEM] Yes there are 15 restaurants that are a similar price range. Did you still want Italian?  [USER] | Type of food doesn't matter. Which is the best one? I'll book that. [END]
[USER] Type of food doesn't matter. Which is the best one? I'll book that.  [SYSTEM] | Your reservation is at the Dojo Noodle Bar at Millers Yard. The reference number is W87AKIBY and the table will be held for 15 minutes. Is that all? [END]
[SYSTEM] Your reservation is at the Dojo Noodle Bar at Millers Yard. The reference number is W87AKIBY and the table will be held for 15 minutes. Is that all?  [USER] | That is all. Thank you! [END]
[USER] That is all. Thank you!  [SYSTEM] | Thank you for calling. Enjoy your dining experience. [END]
[USER] I'm looking for a particular restaurant called ask. Please give me information on that restaurant.  [SYSTEM] | Ask is an italian place in the centre area, they are in the cheap price range. Can I help with anything else? [END]
[SYSTEM] Ask is an italian place in the centre area, they are in the cheap price range. Can I help with anything else?  [USER] | Yes, I'd like to book a table for 1 at 17:15 on Wednesday. Can you do that? [END]
[USER] Yes, I'd like to book a table for 1 at 17:15 on Wednesday. Can you do that?  [SYSTEM] | I was able to book that table for you. Your reference number should you need it, is DFEBH5D1 .Can I help with anything else? [END]
[SYSTEM] I was able to book that table for you. Your reference number should you need it, is DFEBH5D1 .Can I help with anything else?  [USER] | No. I think I am all set. Thanks. [END]
[USER] No. I think I am all set. Thanks.  [SYSTEM] | You're very welcome, just let us know if we can help with anything else. [END]
[USER] Hey, I'm up south can you give me a place to eat?  [SYSTEM] | What kind of food would you like? [END]
[SYSTEM] What kind of food would you like?  [USER] | Don't care. [END]
[USER] Don't care.  [SYSTEM] | I recommend Chiquito Restaurant Bar [END]
[SYSTEM] I recommend Chiquito Restaurant Bar  [USER] | Can I have the address and telephone number? [END]
[USER] Can I have the address and telephone number?  [SYSTEM] | Chiquito Restaurant Bar is located at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton. The phone number is 01223 400170. [END]
[SYSTEM] Chiquito Restaurant Bar is located at 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton. The phone number is 01223 400170.  [USER] | THAT WILL BE FINE. [END]
[USER] THAT WILL BE FINE.  [SYSTEM] | You're welcome, goodbye. [END]
[USER] I'm looking for a place to eat. I would like it to be an expensive restaurant in the centre.  [SYSTEM] | I found 33 expensive restaurants in the centre. What type of cuisine would you like? [END]
[SYSTEM] I found 33 expensive restaurants in the centre. What type of cuisine would you like?  [USER] | I'm looking for a restaurant with mediterranean food. [END]
[USER] I'm looking for a restaurant with mediterranean food.  [SYSTEM] | I have found two restaurants. One is La mimosa, and the other is Shiraz restaurant, would you like me to book one for you? [END]
[SYSTEM] I have found two restaurants. One is La mimosa, and the other is Shiraz restaurant, would you like me to book one for you?  [USER] | Please book the One is La mimosa [END]
[USER] Please book the One is La mimosa  [SYSTEM] | Can I please get the number of people dining,day,and time please. [END]
[SYSTEM] Can I please get the number of people dining,day,and time please.  [USER] | Yes, it's for 8 people. 16:45 on Monday. I would like the reference number, if it is available. [END]
[USER] Yes, it's for 8 people. 16:45 on Monday. I would like the reference number, if it is available.  [SYSTEM] | That wasn't available. Shall I try the Shiraz Restaurant? [END]
[SYSTEM] That wasn't available. Shall I try the Shiraz Restaurant?  [USER] | Yes please try the Shiraz Restaurant. [END]
[USER] Yes please try the Shiraz Restaurant.  [SYSTEM] | You've got a table for Monday at Shiraz Restaurant. Your reference number is NS7MCM5B . Can I help with anything else today? [END]
[SYSTEM] You've got a table for Monday at Shiraz Restaurant. Your reference number is NS7MCM5B . Can I help with anything else today?  [USER] | That will be all. Thank you very much. [END]
[USER] That will be all. Thank you very much.  [SYSTEM] | You are welcome. Enjoy your stay in Cambridge. [END]
[USER] I would like to eat in the Center of town at a expensive place.  [SYSTEM] | For Town Centre, there are African, Asian Oriental, and British options. Which of these would you prefer? [END]
[SYSTEM] For Town Centre, there are African, Asian Oriental, and British options. Which of these would you prefer?  [USER] | How about African? I'd like to book a table for 7 at 16:15 on Tuesday. [END]
[USER] How about African? I'd like to book a table for 7 at 16:15 on Tuesday.  [SYSTEM] | I have booked a table at bedouin African restaurant for 7 people at 16:15 tuesday. Your reference number is VAZCWIS6 . May I help with anything else? [END]
[SYSTEM] I have booked a table at bedouin African restaurant for 7 people at 16:15 tuesday. Your reference number is VAZCWIS6 . May I help with anything else?  [USER] | Nope that's all I needed! Thanks! [END]
[USER] Nope that's all I needed! Thanks!  [SYSTEM] | Okay great. Enjoy your dining experience. [END]
[USER] Hi, I want a moderately priced restaurant located in the south part of town.  [SYSTEM] | Pizza hut cherry hinton is in the south part of town and in the moderate price range. Would you like their location? [END]
[SYSTEM] Pizza hut cherry hinton is in the south part of town and in the moderate price range. Would you like their location?  [USER] | address and postcode please [END]
[USER] address and postcode please  [SYSTEM] | Their address is G4 Cambridge Leisure Park Clifton Way Cherry Hinton and their postcode is C.B 1, 7 D.Y. Is there anything else I can do for you today? [END]
[SYSTEM] Their address is G4 Cambridge Leisure Park Clifton Way Cherry Hinton and their postcode is C.B 1, 7 D.Y. Is there anything else I can do for you today?  [USER] | No, thank you, goodbye. [END]
[USER] No, thank you, goodbye.  [SYSTEM] | enjoy your meal! [END]
[USER] I would like inexpensive Turkish food.  [SYSTEM] | I'm sorry I do not show anything available. Would you like to try something else? [END]
[SYSTEM] I'm sorry I do not show anything available. Would you like to try something else?  [USER] | Ok, how about an Italian restaurant? [END]
[USER] Ok, how about an Italian restaurant?  [SYSTEM] | There are 5 listings matching your criteria. Do you have a preference on the area? [END]
[SYSTEM] There are 5 listings matching your criteria. Do you have a preference on the area?  [USER] | I do not have a preference of area as long as it's cheap. Please make a suggestion. [END]
[USER] I do not have a preference of area as long as it's cheap. Please make a suggestion.  [SYSTEM] | Ask is an Italian restaurant in the cheap priced category, and is the centre of town. [END]
[SYSTEM] Ask is an Italian restaurant in the cheap priced category, and is the centre of town.  [USER] | Can I get the address and phone number? [END]
[USER] Can I get the address and phone number?  [SYSTEM] | Ask is at 12 Bridge Street City Centre and can be reached at 01223 364917. Can I help you anything else today? [END]
[SYSTEM] Ask is at 12 Bridge Street City Centre and can be reached at 01223 364917. Can I help you anything else today?  [USER] | No, thank you. Good bye. [END]
[USER] No, thank you. Good bye.  [SYSTEM] | You're welcome, enjoy your food. [END]
[USER] I would like a restaurant that serves world food  [SYSTEM] | Im sorry, there are no restaurants that serve world food. Can I help you with something else? [END]
[SYSTEM] Im sorry, there are no restaurants that serve world food. Can I help you with something else?  [USER] | How about portuguese food? [END]
[USER] How about portuguese food?  [SYSTEM] | Nandos serves Portuguese and is located in the south part of town and is in the cheap price range. [END]
[SYSTEM] Nandos serves Portuguese and is located in the south part of town and is in the cheap price range.  [USER] | What is the phone number and address? [END]
[USER] What is the phone number and address?  [SYSTEM] | The phone number is 01223 327908, and the address is Cambridge Leisure Park Clifton Way. May I help you with anything else? [END]
[SYSTEM] The phone number is 01223 327908, and the address is Cambridge Leisure Park Clifton Way. May I help you with anything else?  [USER] | Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] | Goodbye. [END]
[USER] I need a South restaurant with british food.  [SYSTEM] | I'm sorry but I cannot find any british food located in the south part of town. [END]
[SYSTEM] I'm sorry but I cannot find any british food located in the south part of town.  [USER] | Is there a chinese restaurant in the south part of town? [END]
[USER] Is there a chinese restaurant in the south part of town?  [SYSTEM] | I've found three Chinese restaurants in the south part of town. Does price range matter to you? [END]
[SYSTEM] I've found three Chinese restaurants in the south part of town. Does price range matter to you?  [USER] | No, any price range is fine. I would just like to know the address and price range of one of the restaurants. [END]
[USER] No, any price range is fine. I would just like to know the address and price range of one of the restaurants.  [SYSTEM] | Peking Restaurant is an expensive Chinese restaurant that is located at 10 Homerton Street City Centre. Is there anything else I can help you with today? [END]
[SYSTEM] Peking Restaurant is an expensive Chinese restaurant that is located at 10 Homerton Street City Centre. Is there anything else I can help you with today?  [USER] | No, thank you. [END]
[USER] No, thank you.  [SYSTEM] | Thank you. [END]
[USER] Are you able to find me a french expensive restaurant?  [SYSTEM] | There are 2 expensive French restaurants. Restaurant Two Two, and Cote. Which would you like to book? [END]
[SYSTEM] There are 2 expensive French restaurants. Restaurant Two Two, and Cote. Which would you like to book?  [USER] | I like the sound of Restaurant Two Two, could you give me their postcode, address and phone number? [END]
[USER] I like the sound of Restaurant Two Two, could you give me their postcode, address and phone number?  [SYSTEM] | Restaurant Two Two is located at 22 Chesterton Road, Chesterton. Their postcode is cb43ax. You can reach them at 01223351880. Any other information I can provide? [END]
[SYSTEM] Restaurant Two Two is located at 22 Chesterton Road, Chesterton. Their postcode is cb43ax. You can reach them at 01223351880. Any other information I can provide?  [USER] | No, that's everything I needed today. Thank you. [END]
[USER] No, that's everything I needed today. Thank you.  [SYSTEM] | You're quite welcome! Thanks for contacting the Cambridge TownInfo Centre and have a great day! [END]
[USER] Good morning, I need help finding a restaurant that serves bistro in the moderate price range.  [SYSTEM] | I couldn't find a restaurant with the attributes you are looking for. Would you like something else? [END]
[SYSTEM] I couldn't find a restaurant with the attributes you are looking for. Would you like something else?  [USER] | How about one with british food? [END]
[USER] How about one with british food?  [SYSTEM] | There are 5 restaurants serving british food. Do you have a preferred area? [END]
[SYSTEM] There are 5 restaurants serving british food. Do you have a preferred area?  [USER] | I do not have a preferred area. Which ones have a table available for 6 people at 12:30 on Tuesday? [END]
[USER] I do not have a preferred area. Which ones have a table available for 6 people at 12:30 on Tuesday?  [SYSTEM] | Is there a price range you would prefer to stay within? [END]
[SYSTEM] Is there a price range you would prefer to stay within?  [USER] | No I do not need to stay within a price. [END]
[USER] No I do not need to stay within a price.  [SYSTEM] | I have Restaurant One Seven in the moderate price range. Would you like me to book a reservation? [END]
[SYSTEM] I have Restaurant One Seven in the moderate price range. Would you like me to book a reservation?  [USER] | Yes, please. [END]
[USER] Yes, please.  [SYSTEM] | The booking was unsuccessful, do you have any other preference? [END]
[SYSTEM] The booking was unsuccessful, do you have any other preference?  [USER] | I just need a restaurant in the same area and has the same price range. [END]
[USER] I just need a restaurant in the same area and has the same price range.  [SYSTEM] | Sure. I booked you a table in the oak bistro which is in the center part of the town. Your reservation number is CMJ6WM0Z . [END]
[SYSTEM] Sure. I booked you a table in the oak bistro which is in the center part of the town. Your reservation number is CMJ6WM0Z .  [USER] | Great, thanks for that. See you! [END]
[USER] Great, thanks for that. See you!  [SYSTEM] | Sure, I'm here to help you. Bye! [END]
[USER] Can you help me find a moderately priced place to eat located in the centre?  [SYSTEM] | Certainly, there are many restaurants that fit that criteria. Do you have a food type preference? [END]
[SYSTEM] Certainly, there are many restaurants that fit that criteria. Do you have a food type preference?  [USER] | Yes, do any serve international food? [END]
[USER] Yes, do any serve international food?  [SYSTEM] | I have 2. The varsity restaurant and bloomsberry. Both serve international food and are in the moderate price range. Do you have a preference? [END]
[SYSTEM] I have 2. The varsity restaurant and bloomsberry. Both serve international food and are in the moderate price range. Do you have a preference?  [USER] | Can you check to see if either has booking for 5 people at 17:15 on monday? [END]
[USER] Can you check to see if either has booking for 5 people at 17:15 on monday?  [SYSTEM] | Neither are available at that time. Would you like to try a different time? [END]
[SYSTEM] Neither are available at that time. Would you like to try a different time?  [USER] | No, I need 17:15 on Monday. Perhaps a different restaurant in the centre with moderate prices? Any cuisine is fine. [END]
[USER] No, I need 17:15 on Monday. Perhaps a different restaurant in the centre with moderate prices? Any cuisine is fine.  [SYSTEM] | I was able to book you for the yippee noodle bar, your reference number is E6ERFBKG [END]
[SYSTEM] I was able to book you for the yippee noodle bar, your reference number is E6ERFBKG  [USER] | Thank you and goodbye [END]
[USER] Thank you and goodbye  [SYSTEM] | Good bye to you, let us know if you need us again. [END]
[USER] What are my options for cheap restaurants in the city center?  [SYSTEM] | There are 15 options to choose from. Is there a particular style of food you would like? [END]
[SYSTEM] There are 15 options to choose from. Is there a particular style of food you would like?  [USER] | I don't have a style preference. [END]
[USER] I don't have a style preference.  [SYSTEM] | Well how about Asian oriental? I have several good but cheap options. [END]
[SYSTEM] Well how about Asian oriental? I have several good but cheap options.  [USER] | That sounds wonderful, can you book a table for 5 on Tuesday at 15:15? [END]
[USER] That sounds wonderful, can you book a table for 5 on Tuesday at 15:15?  [SYSTEM] | Certainly! I have made a reservation at dojonoodlebar for the time specified and number of people in your party. Enjoy the restaurant! [END]
[USER] Is there any place here in the centre that serves corsica food?  [SYSTEM] | What price range are you looking for? [END]
[SYSTEM] What price range are you looking for?  [USER] | Any price range will do. [END]
[USER] Any price range will do.  [SYSTEM] | There are no restaurants available matching your criteria. Would you like to try a different area, price range, or food type? [END]
[SYSTEM] There are no restaurants available matching your criteria. Would you like to try a different area, price range, or food type?  [USER] | Are there any restaurants in the centre that serves North American type of food? [END]
[USER] Are there any restaurants in the centre that serves North American type of food?  [SYSTEM] | Yes. The gourmet burger kitchen serves north american food and is located in the centre part of the city. Would you like their location? [END]
[SYSTEM] Yes. The gourmet burger kitchen serves north american food and is located in the centre part of the city. Would you like their location?  [USER] | Can I get the phone number? [END]
[USER] Can I get the phone number?  [SYSTEM] | The phone number for gourmet burger kitchen is 01223 312598. [END]
[SYSTEM] The phone number for gourmet burger kitchen is 01223 312598.  [USER] | Thank you. Good bye. [END]
[USER] Thank you. Good bye.  [SYSTEM] | Thank you for using the Cambridge restaurant system. Goodbye. [END]
[USER] I am looking for a cheap restaurant that serves Scandinavian food  [SYSTEM] | No results for your query have been found. Would you like to try again? [END]
[SYSTEM] No results for your query have been found. Would you like to try again?  [USER] | Are there any cheap restaurants that serve Italian food? [END]
[USER] Are there any cheap restaurants that serve Italian food?  [SYSTEM] | Yes, there are five options for cheap Italian food. Three are located in the centre of town, one in the north, and one in the west part of town. Do you have a preference on area? [END]
[SYSTEM] Yes, there are five options for cheap Italian food. Three are located in the centre of town, one in the north, and one in the west part of town. Do you have a preference on area?  [USER] | It really doesn't matter, but I suppose the north. Can I get the address and phone number please? [END]
[USER] It really doesn't matter, but I suppose the north. Can I get the address and phone number please?  [SYSTEM] | Of course. Da vinci pizzeria is at 20 Milton Road Chesterton, and the number is 01223 351707. [END]
[SYSTEM] Of course. Da vinci pizzeria is at 20 Milton Road Chesterton, and the number is 01223 351707.  [USER] | Thank you for your help. [END]
[USER] Thank you for your help.  [SYSTEM] | You're welcome, enjoy your food. [END]
[USER] I'm looking for an expensive restaurant in the south part of town  [SYSTEM] | Taj Tandoori is an expensive Indian restaurant in the South. Would you like more information on them? [END]
[SYSTEM] Taj Tandoori is an expensive Indian restaurant in the South. Would you like more information on them?  [USER] | Is there anything else? [END]
[USER] Is there anything else?  [SYSTEM] | Yes. chiquito restaurant bar serves mexican food in the expensive price range and is located in the south part of town. [END]
[SYSTEM] Yes. chiquito restaurant bar serves mexican food in the expensive price range and is located in the south part of town.  [USER] | May I have their address and phone number? [END]
[USER] May I have their address and phone number?  [SYSTEM] | chiquito restaurant bar is located at 2G Cambridge leisure park cherry hinton road cherry hinton. Its phone number is 01223400170. Would you like anything else? [END]
[SYSTEM] chiquito restaurant bar is located at 2G Cambridge leisure park cherry hinton road cherry hinton. Its phone number is 01223400170. Would you like anything else?  [USER] | Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] | Thanks for your call. Goodbye! [END]
[USER] I want to find a restaurant in the east part of town. It serves chinese food. What is the address, phone number, and postcode?  [SYSTEM] | Yu Garden is a Chinese restaurant in the east part of town. Their address is 529 Newmarket Road Fen Ditton, phone number 01223 248882 and postcode C.B 5, 8 P.A. [END]
[SYSTEM] Yu Garden is a Chinese restaurant in the east part of town. Their address is 529 Newmarket Road Fen Ditton, phone number 01223 248882 and postcode C.B 5, 8 P.A.  [USER] | Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] | You're welcome, goodbye. [END]
[USER] I want to eat at an expensive gastropub restaurant  [SYSTEM] | There are two gastropub's in the centre of town in the expensive price range, would you like me to book one? [END]
[SYSTEM] There are two gastropub's in the centre of town in the expensive price range, would you like me to book one?  [USER] | Yeah, I need a reservation for 4 people on saturday at 12:30 please [END]
[USER] Yeah, I need a reservation for 4 people on saturday at 12:30 please  [SYSTEM] | Would you like me to book your reservation in the centre of town or east? [END]
[SYSTEM] Would you like me to book your reservation in the centre of town or east?  [USER] | The center of town would be best. [END]
[USER] The center of town would be best.  [SYSTEM] | Your reservations are complete at the Backstreet Bistro. Your reference number is 7H01DZW5 . [END]
[SYSTEM] Your reservations are complete at the Backstreet Bistro. Your reference number is 7H01DZW5 .  [USER] | Thank you so much. I don't think I need anything further. [END]
[USER] Thank you so much. I don't think I need anything further.  [SYSTEM] | You're welcome, I hope you enjoy your meal. Feel free to call us again if you need anything else. Goodbye. [END]
[USER] I want something that's moderately priced. Any type of food.  [SYSTEM] | What area would you like? [END]
[SYSTEM] What area would you like?  [USER] | I would like the north part of town, please. [END]
[USER] I would like the north part of town, please.  [SYSTEM] | Golden Wok serves Chinese food. Would you like their address and phone number? [END]
[SYSTEM] Golden Wok serves Chinese food. Would you like their address and phone number?  [USER] | yes I would like their address and phone number [END]
[USER] yes I would like their address and phone number  [SYSTEM] | The golden wok is located at 191 Histon Road Chesterton and their phone number is 01223 350688. May I help you with anything else? [END]
[SYSTEM] The golden wok is located at 191 Histon Road Chesterton and their phone number is 01223 350688. May I help you with anything else?  [USER] | No, thank you goodbye [END]
[USER] No, thank you goodbye  [SYSTEM] | Have a great day and enjoy your food. [END]
[USER] I am looking for a cheap restaurant.  [SYSTEM] | There are several cheap restaurants located in the centre part of town. [END]
[SYSTEM] There are several cheap restaurants located in the centre part of town.  [USER] | Do any serve spanish food? [END]
[USER] Do any serve spanish food?  [SYSTEM] | Yes, La Raza serves Spanish food. Would you like their phone number? [END]
[SYSTEM] Yes, La Raza serves Spanish food. Would you like their phone number?  [USER] | No, I would like the address and the post code please. [END]
[USER] No, I would like the address and the post code please.  [SYSTEM] | La Raza is located at 4-6 Rose Crescent, their postcode is C.B 2, 3 L.L [END]
[SYSTEM] La Raza is located at 4-6 Rose Crescent, their postcode is C.B 2, 3 L.L  [USER] | Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] | Thank you for using this system [END]
[USER] Can you help me find a cheap restaurant in the centre?  [SYSTEM] | Sure! There are 15 cheap restaurants in the centre. Is there a certain type of food you're looking for? [END]
[SYSTEM] Sure! There are 15 cheap restaurants in the centre. Is there a certain type of food you're looking for?  [USER] | Oh, yes! Italian, please. [END]
[USER] Oh, yes! Italian, please.  [SYSTEM] | I can recommend Ask restaurant. Would you like me to make a reservation? [END]
[SYSTEM] I can recommend Ask restaurant. Would you like me to make a reservation?  [USER] | No, let's try italian on the cheap side located in the centre. Book for 7 people on wednesday at 11:45 please. [END]
[USER] No, let's try italian on the cheap side located in the centre. Book for 7 people on wednesday at 11:45 please.  [SYSTEM] | I was able to book your party at Ask. Your reservation will hold for 15 minutes. Is there anything else I can help you with today? [END]
[SYSTEM] I was able to book your party at Ask. Your reservation will hold for 15 minutes. Is there anything else I can help you with today?  [USER] | Could I get the reference number please? [END]
[USER] Could I get the reference number please?  [SYSTEM] | Reference number is : V0PVDPBC . Need anything else? [END]
[SYSTEM] Reference number is : V0PVDPBC . Need anything else?  [USER] | No thank you! Goodbye. [END]
[USER] No thank you! Goodbye.  [SYSTEM] | You're welcome and have a great day! [END]
[USER] I would like a restaurant in the centre and in the moderate price range.  [SYSTEM] | The Yippee Noodle Bar is a moderate priced Asian Oriental restaurant. Does that sound good? [END]
[SYSTEM] The Yippee Noodle Bar is a moderate priced Asian Oriental restaurant. Does that sound good?  [USER] | No, the restaurant should serve modern european food. [END]
[USER] No, the restaurant should serve modern european food.  [SYSTEM] | Sure I have at least two choices for you. One is the De Luca Cucina and Bar and the other is the Riverside Brasserie. Both are located in the center. Would either of them interest you? [END]
[SYSTEM] Sure I have at least two choices for you. One is the De Luca Cucina and Bar and the other is the Riverside Brasserie. Both are located in the center. Would either of them interest you?  [USER] | Let's try the Brasserie. [END]
[USER] Let's try the Brasserie.  [SYSTEM] | If you'd like a reservation I will need to know what day and time you'd like your reservation and how many will be in your party. [END]
[SYSTEM] If you'd like a reservation I will need to know what day and time you'd like your reservation and how many will be in your party.  [USER] | Just 1 person at 13:15 on thursday [END]
[USER] Just 1 person at 13:15 on thursday  [SYSTEM] | You're all set your reference number is IVGZLYTZ [END]
[SYSTEM] You're all set your reference number is IVGZLYTZ  [USER] | Thanks. That's all I need! [END]
[USER] Thanks. That's all I need!  [SYSTEM] | Alright, thank you. Goodbye! [END]
[USER] Hi! Can you give me some information on the Royal Spice restaurant?  [SYSTEM] | Of course! It's a cheap Indian restaurant in the north at Victoria Avenue Chesteron cb41eh. The phone number is 01733553355. May I help with anything else? [END]
[SYSTEM] Of course! It's a cheap Indian restaurant in the north at Victoria Avenue Chesteron cb41eh. The phone number is 01733553355. May I help with anything else?  [USER] | I would like to book for two on Wednesday, at 17:15. [END]
[USER] I would like to book for two on Wednesday, at 17:15.  [SYSTEM] | I have you booked Wednesday at 17:15 a table for 2, this table will hold for 15 mins and your reference number is GXO64LG8 . [END]
[SYSTEM] I have you booked Wednesday at 17:15 a table for 2, this table will hold for 15 mins and your reference number is GXO64LG8 .  [USER] | Great, thanks! That's all I needed! [END]
[USER] Great, thanks! That's all I needed!  [SYSTEM] | You're welcome! Have a great day. Goodbye. [END]
[USER] Hello, I am looking for a restaurant that serves Portuguese food.  [SYSTEM] | nandos city centre serves portuguese food. They are in the centre of town and are in the cheap price range. [END]
[SYSTEM] nandos city centre serves portuguese food. They are in the centre of town and are in the cheap price range.  [USER] | What is their address? [END]
[USER] What is their address?  [SYSTEM] | nandos city centre is at 33-34 Saint Andrews Street. [END]
[SYSTEM] nandos city centre is at 33-34 Saint Andrews Street.  [USER] | Thank you so much! [END]
[USER] Thank you so much!  [SYSTEM] | You're welcome. Goodbye. [END]
[USER] Looking for a restaurant on the South part of town?  [SYSTEM] | What type of food would you like? [END]
